MUN;Regiao;UF;Cidade;Nome;Site;Fase;Ano;Gestora;Público;Universidade;Contato;End;CEP
4205407;Sul;SC;Florianópolis;Parque Tecnológico  ALFA;;Operação;1995;Fapesc - Fundação De Apoio A Pesquisa Científica E Tecnológica Do Estado De Santa Catarina;1;0;(48) 3239-2205     (48) 9923-1001;Rodovia Sc 401 Km 01, joão Paulo - Florianópolis, SC;88030000
2303501;Sul;PR;Cascavel;Parque Tecnológico Agroindustrial do Oeste - PTAO;;Operação;1996;Fundação para o Desenvolvimento Científico e Tecnológico - FUNDETEC;0;0;45-3218.1220;BR 277, Km 573  CP.4065;85801980
4314902;Sul;RS;Porto Alegre;Parque Científico e Tecnológico da PUC/RS - TECNOPUC;;Operação;2003;PUC/RS- Pontífica Universidade Católica do Rio Grande do Sul ;0;1;51-3320.3694;Av: Ipiranga, 6681  Predio 96b - Sala 103 - Bairro Partenon;90619900
4304606;Sul;RS;Canoas;Parque Tecnológico da ULBRATEC - PTU;;Operação;2004;CDT-Centro de Desenvolvimento de Tecnologias;0;0;51-3462 5600 ;Av Farroupilha, 80001;92420280
4108304;Sul;PR;Foz do Iguaçu;Parque Tecnológico Itaipu - PTI;https://www.pti.org.br/;Operação;2005;Fundação Parque Tecnológico de Itaipú;0;0;(45) 3520-6158;"Av. Tancredo Neves, 6731; Caixa Postal 2039";85867900
4303905;Sul;RS;Campo Bom;FEEVALE TECHPAR;https://www.feevale.br/techpark/;Operação;2005;Associação Pró-Ensino Superior em Novo Hamburgo - ASPEUR/FEEVALE;0;0;(51) 3597 5800;Av. Edgar Hoffmeister, 600, Zona Industrial Norte - Campo Bom ;93700000
4205407;Sul;SC;Florianópolis;Sapiens Parque S/A;http://www.sapiensparque.com.br/;Operação;2006;Sapiens Parque S.A.;0;0;48-3261-2800;Av. Luiz Boiteux Piazza, 1302;88056000
4113700;Sul;PR;Londrina;Parque Tecnológico de Londrina Francisco Sciarra;;Operação;2007;CODEL - Instituto de Desenvovimento de Londrina;1;0;(43) 3379-2300 /2302;Avenida das Maritacas, s/nº;86027580
4106902;Sul;PR;Curitiba;Programa Curitiba Tecnoparque PCPR TECNO PARK;;Operação;2008;Agência Curitiba de Desenvolvimento S.A;1;0;41-3221-9900;Rua Barão do Rio Branco, 45 - 7º e 8º andares - Centro;80010180
4209102;Sul;SC;Joinville;Parque de Inovação da Região de Joinville - INOVAPARK;https://inovaparq.com.br/;Operação;2008;FURJ - Fundação Educacional da Região de Joinville;1;0;47-3461 9011 - 3461 ;Campus Universitário S/N;89223251
4109401;Sul;PR;Guarapuava;Parque Tecno-Científico da Unicentro -TECNICENTRO;;Implantação;2009;UNICENTRO;0;1;42-3624.3328;Rua Simeão Camargo Varela de Sá, 03;85040080
4106902;Sul;PR;Curitiba;Parque de Software de Curitiba - APS;http://www.parquedesoftware.com.br/;Operação;1996;APS - Associação do Parque de Software;0;0;41 - 33371015;Rua Eng. Roberto Fisher, 208;81250025
4318705;Sul;RS;São Leopoldo;Parque Tecnológico do Pólo de Informática em São Leopoldo - TECNOSINOS;https://www.tecnosinos.com.br/;Operação;1999;Universidade do Vale do Rio dos Sinos (Unisinos);0;1;51-3590-8601             9998 7364;Av. Unisinos, 950 - Cp 275 - Cristo Rei;93022750
5300108;Centro-Oeste;DF;Brasília;Parque Tecnológico Sucupira de Biotecnologia e Agronegócios;;Projeto;2002;EMBRAPA - Recursos Genéticos e Tecnologia;1;0;61-3448.4864;CAMPO EXPERIMENTAL SUCUPIRA DA EMBRAPA;
2701506;Centro-Oeste;MS;Campo Grande;Parque Tecnológico e Científico de Campo Grande - PTCC;;Projeto;2007;Secretaria Municipal de Desenvolvimento Econômico, Ciência e Tecnologia e do Agronegócio;1;0;67 - 3314-2580 / 33149607;Rua Dom Aquino, 2383;79002183
5201108;Centro-Oeste;GO;Anápolis;Parque Tecnológico de Anápolis;;Projeto;2013;;;;62-3902-1200 - 3902-1204;;
1721000;Norte;TO;Palmas;Parque Tecnologico de Tocantins;;Projeto;2015;Secret. Desenvolvimento Economico;1;0;63 3218 2368 - 8114 8700;Esplanada das Secretarias, Praça dos Girasois AANE Predio 3;77001002
5107925;Centro-Oeste;MT;Sorriso;Parque Tecnológico Agro Alimentar de Sorriso;;Projeto;2016;prefeitura municipal;1;0;66 3545 4729;;
5211503;Centro-Oeste;GO;Itumbiara;Instituto Luterano de Ensino Superior de Itumbiara - ULBRATECH Itumbiara;;Projeto;;Instituto Luterano de Ensino Superior - ILES/ULBRA;0;1;64-34336583;Rua João Goulart, 666, Bairro Mato Grosso;76804414
