"ANO";"Componente";"P_Explicado";"Base"
2010;"comp 57";0,120316313264795;1
2010;"comp 58";0,116742084499189;1
2010;"comp 59";0,108148111192152;1
2010;"comp 60";0,101342386599539;1
2010;"comp 61";0,0945576115175319;1
2010;"comp 62";0,0859459696131355;1
2010;"comp 63";0,0840175626283192;1
2010;"comp 64";0,0781908072624267;1
2010;"comp 65";0,0754671328962061;1
2010;"comp 66";0,0708020111904656;1
2010;"comp 67";0,0666325574491028;1
2010;"comp 68";0,060550944331157;1
2010;"comp 69";0,0591314563263433;1
2010;"comp 70";0,0559321784753258;1
2010;"comp 71";0,0525488189451844;1
2010;"comp 72";0,0483843815589677;1
2010;"comp 73";0,0474772713773627;1
2010;"comp 74";0,0452910832279187;1
2010;"comp 75";0,0404354377278748;1
2010;"comp 76";0,0337680872406755;1
2010;"comp 77";0,0323366367512873;1
2010;"comp 78";0,0305173745993598;1
2010;"comp 79";0,0269203064044197;1
2010;"comp 80";0,0232357345966729;1
2010;"comp 81";0,0215032323673274;1
2010;"comp 82";0,0194839089515541;1
2010;"comp 83";0,0151825707764935;1
2010;"comp 84";0,0115571983033914;1
2011;"comp 1";48,1135875100626;1
2011;"comp 2";6,59975763661547;1
2011;"comp 3";5,61891203132082;1
2011;"comp 4";4,03257206552046;1
2011;"comp 5";2,75757421834946;1
2011;"comp 6";2,40506995319541;1
2011;"comp 7";2,00011044991082;1
2011;"comp 8";1,7177608645726;1
2011;"comp 9";1,64007859679202;1
2011;"comp 10";1,46404739798074;1
2011;"comp 11";1,27505533701399;1
2011;"comp 12";1,23546400734865;1
2011;"comp 13";1,18225591582028;1
2011;"comp 14";1,13382398798741;1
2011;"comp 15";0,982999510394767;1
2011;"comp 16";0,954588358090334;1
2011;"comp 17";0,891657661933105;1
2011;"comp 18";0,809032775459601;1
2011;"comp 19";0,766547276236918;1
2011;"comp 20";0,72039948812645;1
2011;"comp 21";0,706299720615783;1
2011;"comp 22";0,666021011858075;1
2011;"comp 23";0,631904354879849;1
2011;"comp 24";0,600517052449783;1
2011;"comp 25";0,56334164587071;1
2011;"comp 26";0,52484093250034;1
2011;"comp 27";0,515511672045972;1
2011;"comp 28";0,503649645106475;1
2011;"comp 29";0,488562061351102;1
2011;"comp 30";0,451132565914898;1
2011;"comp 31";0,414659643876517;1
2011;"comp 32";0,397699443638366;1
2011;"comp 33";0,378559118275455;1
2011;"comp 34";0,365237731322282;1
2011;"comp 35";0,356116768195411;1
2011;"comp 36";0,323060542032554;1
2011;"comp 37";0,317675605067751;1
2011;"comp 38";0,314353281846871;1
2011;"comp 39";0,281071780799479;1
2011;"comp 40";0,279224685705067;1
2011;"comp 41";0,266689069425275;1
2011;"comp 42";0,248702925161608;1
2011;"comp 43";0,236655712590338;1
2011;"comp 44";0,227895048222999;1
2011;"comp 45";0,224030585411338;1
2011;"comp 46";0,20620809620856;1
2011;"comp 47";0,200571379544945;1
